Telemetry_ID,Trip_ID,Timestamp,Minute_Offset,Latitude,Longitude,Altitude,Speed_KMH,Acceleration_X,Acceleration_Y,Acceleration_Z,Gyro_X,Gyro_Y,Gyro_Z,Phone_Mount
TEL_000022,T001,2026-08-10 17:01:00,21,13.024538,77.608191,918.1,31.5,-0.65,0.7,9.78,1.0,-11.3,-10.1,Handlebar_Mount
TEL_000023,T001,2026-08-10 17:02:00,22,13.026694,77.610619,923.1,30.9,-0.67,-0.19,10.24,0.6,-6.2,1.2,Handlebar_Mount
TEL_000024,T001,2026-08-10 17:03:00,23,13.025326,77.608253,923.9,26.0,-0.59,-1.72,9.8,-5.8,-2.7,2.2,Handlebar_Mount
TEL_000025,T001,2026-08-10 17:04:00,24,13.027947,77.609133,921.7,26.3,-0.0,0.11,9.44,-0.4,0.5,7.7,Handlebar_Mount
TEL_000026,T001,2026-08-10 17:05:00,25,13.028477,77.606047,919.2,29.8,-0.98,1.21,10.04,4.3,-6.5,10.1,Handlebar_Mount
TEL_000027,T001,2026-08-10 17:06:00,26,13.025449,77.605381,919.1,29.5,0.17,-0.1,9.77,-2.3,0.6,2.6,Handlebar_Mount
TEL_000028,T001,2026-08-10 17:07:00,27,13.028506,77.605112,916.7,29.2,0.39,-0.08,10.45,2.7,3.3,-4.1,Handlebar_Mount
TEL_000029,T001,2026-08-10 17:08:00,28,13.029081,77.608351,916.0,31.3,1.23,0.71,10.02,6.0,13.8,4.4,Handlebar_Mount
TEL_000030,T001,2026-08-10 17:09:00,29,13.032547,77.608499,917.9,33.0,0.34,0.6,9.57,1.9,1.8,-4.6,Handlebar_Mount
TEL_000031,T001,2026-08-10 17:10:00,30,13.035919,77.609804,918.2,34.4,-0.63,0.5,9.29,3.2,-5.3,-14.7,Handlebar_Mount
TEL_000032,T001,2026-08-10 17:11:00,31,13.035481,77.613287,923.5,33.4,-0.28,-0.36,9.71,1.2,-4.1,0.4,Handlebar_Mount
TEL_000033,T001,2026-08-10 17:12:00,32,13.037321,77.616448,921.4,34.8,-0.2,0.48,9.84,-1.1,0.7,-15.4,Handlebar_Mount
TEL_000034,T001,2026-08-10 17:13:00,33,13.037321,77.616448,918.6,0.0,0.22,-3.1,10.61,-11.9,5.0,5.2,Handlebar_Mount
TEL_000035,T002,2026-08-11 17:11:00,0,13.047978,77.61626,920.6,0.0,0.48,0.0,10.03,-2.5,2.4,-4.2,Handlebar_Mount
TEL_000036,T002,2026-08-11 17:12:00,1,13.047978,77.61626,920.6,0.0,0.29,0.0,10.34,-3.1,3.5,-0.8,Handlebar_Mount
TEL_000037,T002,2026-08-11 17:13:00,2,13.047978,77.61626,917.6,0.0,0.35,0.0,10.46,-2.3,-0.2,7.1,Handlebar_Mount
TEL_000038,T002,2026-08-11 17:14:00,3,13.047513,77.616789,924.2,6.7,0.33,2.33,10.65,7.8,0.3,-0.5,Handlebar_Mount
TEL_000039,T002,2026-08-11 17:15:00,4,13.047736,77.617827,916.6,10.1,0.22,1.18,9.92,4.3,2.7,-4.9,Handlebar_Mount
TEL_000040,T002,2026-08-11 17:16:00,5,13.048148,77.616284,915.7,15.2,-1.13,1.77,8.99,3.3,-2.3,-7.3,Handlebar_Mount
TEL_000041,T002,2026-08-11 17:17:00,6,13.049962,77.616156,917.5,17.3,0.06,0.71,9.95,2.9,3.7,12.6,Handlebar_Mount
TEL_000042,T002,2026-08-11 17:18:00,7,13.049942,77.61849,919.0,22.2,1.17,1.71,6.93,3.9,10.0,-1.6,Handlebar_Mount
TEL_000043,T002,2026-08-11 17:19:00,8,13.051542,77.620627,916.6,25.4,-0.18,1.1,9.78,4.7,4.1,10.9,Handlebar_Mount
TEL_000044,T002,2026-08-11 17:20:00,9,13.052258,77.61855,920.2,20.9,0.2,-1.55,9.97,-6.5,0.5,8.8,Handlebar_Mount
TEL_000045,T002,2026-08-11 17:21:00,10,13.054528,77.61811,915.6,22.0,0.2,0.39,9.89,2.4,2.0,-6.5,Handlebar_Mount
TEL_000046,T002,2026-08-11 17:22:00,11,13.05499,77.620718,916.7,25.2,-0.14,1.11,9.78,4.7,3.5,0.3,Handlebar_Mount
TEL_000047,T002,2026-08-11 17:23:00,12,13.055271,77.618031,918.8,25.7,-1.06,0.15,10.27,0.6,-11.5,9.1,Handlebar_Mount
TEL_000048,T002,2026-08-11 17:24:00,13,13.057881,77.619458,917.3,28.3,-0.28,0.91,9.43,3.1,-3.2,3.3,Handlebar_Mount
TEL_000049,T002,2026-08-11 17:25:00,14,13.060829,77.618198,917.0,30.5,0.3,0.76,9.42,2.0,2.1,-1.2,Handlebar_Mount
TEL_000050,T002,2026-08-11 17:26:00,15,13.063976,77.618522,916.3,30.1,-0.18,-0.14,8.61,3.9,5.3,9.4,Handlebar_Mount
TEL_000051,T002,2026-08-11 17:27:00,16,13.064346,77.615422,919.2,29.7,0.16,-0.12,9.13,3.8,3.5,13.5,Handlebar_Mount
TEL_000052,T002,2026-08-11 17:28:00,17,13.064346,77.615422,923.7,0.0,0.16,-3.4,8.97,-12.2,3.8,0.7,Handlebar_Mount
TEL_000053,T003,2026-08-12 19:11:00,0,13.055275,77.595084,922.7,0.0,0.02,0.0,10.03,0.7,1.3,-7.1,Pocket
TEL_000054,T003,2026-08-12 19:12:00,1,13.054856,77.595305,921.3,4.5,-0.24,1.56,9.65,2.3,3.4,-5.0,Pocket
TEL_000055,T003,2026-08-12 19:13:00,2,13.055878,77.595721,919.8,10.5,-0.58,2.08,9.6,6.4,-12.6,-3.4,Pocket
TEL_000056,T003,2026-08-12 19:14:00,3,13.055398,77.594165,920.7,15.5,-1.53,1.75,9.12,6.2,-12.2,19.8,Pocket
TEL_000057,T003,2026-08-12 19:15:00,4,13.057233,77.594027,921.0,17.5,1.42,0.69,9.2,1.2,4.2,-4.5,Pocket
TEL_000058,T003,2026-08-12 19:16:00,5,13.058094,77.595852,919.4,19.2,-0.19,0.58,9.73,4.6,-0.4,0.9,Pocket
TEL_000059,T003,2026-08-12 19:17:00,6,13.0557,77.595956,917.8,22.8,-0.38,1.27,9.57,9.1,1.5,-23.5,Pocket
TEL_000060,T003,2026-08-12 19:18:00,7,13.057108,77.593626,918.7,25.9,-0.85,1.06,9.96,3.8,0.9,0.7,Pocket
TEL_000061,T003,2026-08-12 19:19:00,8,13.054206,77.592882,916.5,28.5,-0.61,0.89,10.21,2.4,-3.4,-0.2,Pocket
TEL_000062,T003,2026-08-12 19:20:00,9,13.054948,77.590515,917.2,23.6,0.11,-1.69,10.1,-9.7,1.5,10.3,Pocket
TEL_000063,T003,2026-08-12 19:21:00,10,13.057692,77.58998,921.8,26.6,-0.29,1.02,9.91,5.4,0.4,14.4,Pocket
TEL_000064,T003,2026-08-12 19:22:00,11,13.054782,77.589072,924.8,29.0,-0.12,0.86,10.51,4.9,-5.9,-3.7,Pocket
TEL_000065,T003,2026-08-12 19:23:00,12,13.056339,77.586464,919.9,28.9,-0.37,-0.06,10.03,-3.0,-4.6,-13.9,Pocket
TEL_000066,T003,2026-08-12 19:24:00,13,13.053799,77.584424,921.7,31.0,0.56,0.73,9.97,3.0,6.7,4.2,Pocket
TEL_000067,T003,2026-08-12 19:25:00,14,13.051582,77.586739,923.7,30.5,-0.56,-0.16,10.24,0.9,-0.7,10.8,Pocket
TEL_000068,T003,2026-08-12 19:26:00,15,13.051476,77.590238,918.0,33.3,0.13,0.97,9.93,3.0,1.7,-21.7,Pocket
TEL_000069,T003,2026-08-12 19:27:00,16,13.054499,77.592278,919.3,34.7,0.91,0.48,9.09,3.7,18.1,14.3,Pocket
TEL_000070,T003,2026-08-12 19:28:00,17,13.052661,77.595294,918.9,33.6,-0.1,-0.37,9.13,-4.0,-1.3,0.8,Pocket
TEL_000071,T003,2026-08-12 19:29:00,18,13.054782,77.597364,922.3,28.2,1.51,-1.87,10.66,-3.8,12.4,17.4,Pocket
TEL_000072,T003,2026-08-12 19:30:00,19,13.052201,77.595907,915.3,28.2,0.37,-0.01,9.32,1.0,2.5,3.0,Pocket
TEL_000073,T003,2026-08-12 19:31:00,20,13.054134,77.594336,923.8,23.7,-0.05,-1.57,9.07,-5.0,-3.1,3.7,Pocket
TEL_000074,T003,2026-08-12 19:32:00,21,13.056891,77.59387,916.2,26.6,0.2,1.02,9.63,4.6,3.3,11.4,Pocket
TEL_000075,T003,2026-08-12 19:33:00,22,13.059114,77.593096,916.0,22.4,0.97,-1.48,9.21,-6.2,7.9,-13.0,Pocket
TEL_000076,T003,2026-08-12 19:34:00,23,13.058381,77.590759,920.2,23.3,-0.51,0.31,9.6,-1.3,-5.1,-17.4,Pocket
TEL_000077,T003,2026-08-12 19:35:00,24,13.058514,77.587998,916.5,26.3,-0.55,1.04,9.49,3.4,-0.3,4.8,Pocket
TEL_000078,T003,2026-08-12 19:36:00,25,13.056193,77.588105,919.9,22.1,0.28,-1.46,10.29,-7.0,6.3,-1.6,Pocket
TEL_000079,T003,2026-08-12 19:37:00,26,13.057117,77.590965,915.1,28.6,1.34,2.28,9.71,8.6,12.1,21.4,Pocket
TEL_000080,T003,2026-08-12 19:38:00,27,13.056832,77.587983,920.5,28.5,-1.12,-0.03,11.64,0.4,-6.5,9.1,Pocket
TEL_000081,T003,2026-08-12 19:39:00,28,13.058753,77.590576,921.0,30.7,-0.31,0.75,9.81,1.5,-4.7,0.2,Pocket
TEL_000082,T003,2026-08-12 19:40:00,29,13.05839,77.587412,918.0,30.3,0.28,-0.15,9.58,-1.7,0.5,-9.8,Pocket
TEL_000083,T003,2026-08-12 19:41:00,30,13.055262,77.587117,924.9,29.9,0.15,-0.13,10.84,1.6,2.3,-8.2,Pocket
TEL_000084,T003,2026-08-12 19:42:00,31,13.057478,77.589619,915.9,31.8,-0.05,0.67,9.93,3.3,-2.5,-4.8,Pocket
TEL_000085,T003,2026-08-12 19:43:00,32,13.053975,77.589259,920.0,33.5,0.85,0.57,10.04,4.8,4.8,4.0,Pocket
TEL_000086,T003,2026-08-12 19:44:00,33,13.054344,77.592666,917.7,32.6,-0.57,-0.3,10.28,-0.1,-3.1,-0.3,Pocket
TEL_000087,T003,2026-08-12 19:45:00,34,13.054742,77.589347,917.9,31.8,0.84,-0.25,8.64,-0.1,9.7,12.3,Pocket
TEL_000088,T003,2026-08-12 19:46:00,35,13.05789,77.587569,915.3,34.4,-0.79,0.9,10.34,5.5,3.0,11.4,Pocket
TEL_000089,T003,2026-08-12 19:47:00,36,13.05789,77.587569,916.2,0.0,0.16,-3.42,10.1,-12.3,2.7,6.5,Pocket
TEL_000090,T004,2026-08-13 20:38:00,0,13.047645,77.6149,917.6,0.0,-0.19,0.0,9.54,-0.2,-5.9,1.3,Pocket
TEL_000091,T004,2026-08-13 20:39:00,1,13.048365,77.615268,923.7,7.7,-0.23,2.67,9.55,8.9,5.8,0.5,Pocket
TEL_000092,T004,2026-08-13 20:40:00,2,13.04966,77.615766,916.3,13.2,-0.8,1.91,9.62,8.0,-0.5,12.0,Pocket
TEL_000093,T004,2026-08-13 20:41:00,3,13.049832,77.617629,924.0,17.8,-0.16,1.6,10.32,8.1,-7.7,4.9,Pocket
TEL_000094,T004,2026-08-13 20:42:00,4,13.050728,77.615429,921.9,22.6,0.92,1.68,10.42,4.3,7.7,4.9,Pocket
TEL_000095,T004,2026-08-13 20:43:00,5,13.048056,77.615028,917.2,25.7,-0.85,1.08,10.64,2.0,-7.2,-20.0,Pocket
TEL_000096,T004,2026-08-13 20:44:00,6,13.045559,77.613226,923.4,29.3,0.21,1.24,9.82,3.8,0.2,-9.5,Pocket
TEL_000097,T004,2026-08-13 20:45:00,7,13.047562,77.615835,917.4,31.3,1.11,0.71,9.58,3.2,9.2,-5.7,Pocket
TEL_000098,T004,2026-08-13 20:46:00,8,13.047303,77.612608,916.3,30.8,1.62,-0.18,8.91,-0.2,17.3,5.4,Pocket
TEL_000099,T004,2026-08-13 20:47:00,9,13.043877,77.612594,917.5,32.6,-1.08,0.62,9.07,3.6,-13.2,-2.8,Pocket
TEL_000100,T004,2026-08-13 20:48:00,10,13.045638,77.610316,917.1,27.4,-0.53,-1.81,9.99,-6.8,-15.6,18.9,Pocket
TEL_000101,T004,2026-08-13 20:49:00,11,13.046128,77.613399,918.0,29.7,0.0,0.81,10.55,4.7,4.2,-7.0,Pocket
TEL_000102,T004,2026-08-13 20:50:00,12,13.047146,77.610481,924.3,29.4,0.57,-0.09,9.51,-0.5,8.0,2.1,Pocket
TEL_000103,T004,2026-08-13 20:51:00,13,13.049647,77.612635,923.9,31.4,0.82,0.7,9.84,3.3,4.3,-1.7,Pocket
TEL_000104,T004,2026-08-13 20:52:00,14,13.052894,77.612593,924.2,30.9,1.29,-0.19,10.23,3.4,7.3,-8.3,Pocket
TEL_000105,T004,2026-08-13 20:53:00,15,13.055992,77.613373,915.1,30.4,0.64,-0.16,9.41,-1.6,7.3,5.6,Pocket
TEL_000106,T004,2026-08-13 20:54:00,16,13.053572,77.612197,922.1,25.6,-1.77,-1.69,9.98,-5.5,-12.2,22.4,Pocket
TEL_000107,T004,2026-08-13 20:55:00,17,13.050916,77.610883,919.1,28.2,-0.8,0.91,9.44,5.9,-3.2,-0.7,Pocket
TEL_000108,T004,2026-08-13 20:56:00,18,13.048175,77.612722,924.8,31.4,0.77,1.1,10.03,7.0,6.6,6.1,Pocket
TEL_000109,T004,2026-08-13 20:57:00,19,13.051055,77.614673,922.4,33.1,-0.81,0.59,10.49,5.1,-1.3,-10.2,Pocket
TEL_000110,T004,2026-08-13 20:58:00,20,13.049696,77.618035,924.2,34.5,0.53,0.5,10.03,-0.0,-2.2,8.2,Pocket
TEL_000111,T004,2026-08-13 20:59:00,21,13.053407,77.61698,921.1,36.7,-0.79,0.75,10.13,0.6,-5.0,1.0,Pocket
TEL_000112,T004,2026-08-13 21:00:00,22,13.056642,77.616855,915.4,30.8,-0.81,-2.04,10.0,-6.7,-7.2,-7.4,Pocket
TEL_000113,T004,2026-08-13 21:01:00,23,13.060068,77.616853,920.3,32.6,-0.88,0.62,10.14,2.0,-10.3,-0.2,Pocket
TEL_000114,T004,2026-08-13 21:02:00,24,13.062399,77.619576,921.7,34.1,-0.47,0.52,10.31,3.6,-6.0,0.1,Pocket
TEL_000115,T004,2026-08-13 21:03:00,25,13.061488,77.615968,917.9,35.4,0.64,0.44,9.84,3.1,2.5,-6.5,Pocket
TEL_000116,T004,2026-08-13 21:04:00,26,13.064925,77.616734,923.6,33.5,0.58,-0.63,11.22,-3.4,3.8,-19.8,Pocket
TEL_000117,T004,2026-08-13 21:05:00,27,13.064925,77.616734,919.5,0.0,0.22,-3.45,8.97,-14.1,0.3,-6.2,Pocket
TEL_000118,T005,2026-08-14 22:25:00,0,13.021045,77.585443,921.2,0.0,-0.04,0.0,9.31,-2.1,1.4,-1.3,Handlebar_Mount
TEL_000119,T005,2026-08-14 22:26:00,1,13.020797,77.5854,918.9,2.4,0.24,0.84,9.44,2.9,8.2,3.7,Handlebar_Mount
TEL_000120,T005,2026-08-14 22:27:00,2,13.020284,77.584519,921.8,9.7,-0.01,2.53,11.31,5.0,-2.4,-1.1,Handlebar_Mount
TEL_000121,T005,2026-08-14 22:28:00,3,13.019534,77.585894,915.6,14.9,0.74,1.79,8.83,7.1,13.5,-5.7,Handlebar_Mount
TEL_000122,T005,2026-08-14 22:29:00,4,13.019666,77.584112,924.9,17.0,-1.72,0.73,8.93,-2.1,-9.6,-7.9,Handlebar_Mount
TEL_000123,T005,2026-08-14 22:30:00,5,13.017895,77.582642,919.1,21.9,-0.45,1.72,9.71,10.3,-3.0,0.8,Handlebar_Mount
TEL_000124,T005,2026-08-14 22:31:00,6,13.018621,77.584435,917.7,18.4,0.54,-1.22,9.72,-4.3,9.8,-0.9,Handlebar_Mount
TEL_000125,T005,2026-08-14 22:32:00,7,13.016413,77.583682,915.0,22.2,1.12,1.31,9.95,3.4,6.0,15.6,Handlebar_Mount
TEL_000126,T005,2026-08-14 22:33:00,8,13.019037,77.583191,917.7,25.4,0.34,1.1,9.61,1.4,-0.6,-1.6,Handlebar_Mount
TEL_000127,T005,2026-08-14 22:34:00,9,13.021235,77.585303,915.5,29.0,0.14,1.26,10.03,3.9,4.0,5.7,Handlebar_Mount
TEL_000128,T005,2026-08-14 22:35:00,10,13.024245,77.586578,919.7,31.1,-0.54,0.72,9.87,0.9,-2.6,-8.2,Handlebar_Mount
TEL_000129,T005,2026-08-14 22:36:00,11,13.027685,77.586798,921.8,32.8,0.06,0.61,11.52,-0.3,5.8,-17.2,Handlebar_Mount
TEL_000130,T005,2026-08-14 22:37:00,12,13.024274,77.585365,920.1,35.2,0.3,0.84,9.49,2.8,3.0,13.7,Handlebar_Mount
TEL_000131,T005,2026-08-14 22:38:00,13,13.024274,77.585365,916.3,0.0,0.03,-1.9,10.15,-3.6,2.0,-1.4,Handlebar_Mount
TEL_000132,T006,2026-08-15 23:32:00,0,13.05032,77.584031,921.1,0.0,-0.07,0.0,9.39,-1.0,-2.8,2.4,Handlebar_Mount
TEL_000133,T006,2026-08-15 23:33:00,1,13.049616,77.584054,924.5,6.7,0.06,2.33,9.95,11.1,2.5,-2.8,Handlebar_Mount
TEL_000134,T006,2026-08-15 23:34:00,2,13.05014,77.58313,915.6,10.1,-1.02,1.18,9.47,3.4,-4.8,-2.8,Handlebar_Mount
TEL_000135,T006,2026-08-15 23:35:00,3,13.050609,77.581847,915.8,13.0,0.02,0.99,9.21,5.3,0.5,8.9,Handlebar_Mount
TEL_000136,T006,2026-08-15 23:36:00,4,13.049761,77.583491,921.6,17.6,-0.89,1.61,8.92,6.8,-11.2,7.6,Handlebar_Mount
TEL_000137,T006,2026-08-15 23:37:00,5,13.051187,77.58287,917.6,14.8,-1.17,-0.98,9.73,-2.4,-12.5,-4.5,Handlebar_Mount
TEL_000138,T006,2026-08-15 23:38:00,6,13.049763,77.5843,918.0,19.2,0.14,1.51,10.93,6.3,-5.1,3.3,Handlebar_Mount
TEL_000139,T006,2026-08-15 23:39:00,7,13.048108,77.582567,918.5,22.8,-0.91,1.27,7.88,1.6,-7.9,9.2,Handlebar_Mount
TEL_000140,T006,2026-08-15 23:40:00,8,13.050793,77.583016,919.4,25.9,1.39,1.07,9.05,5.6,11.7,-17.5,Handlebar_Mount
TEL_000141,T006,2026-08-15 23:41:00,9,13.05017,77.585946,923.1,28.5,-0.1,0.9,10.22,5.5,-0.1,3.6,Handlebar_Mount
TEL_000142,T006,2026-08-15 23:42:00,10,13.049946,77.588923,920.4,28.4,-0.53,-0.03,9.42,-0.9,-3.8,20.2,Handlebar_Mount
TEL_000143,T006,2026-08-15 23:43:00,11,13.049145,77.592135,922.0,31.5,0.93,1.09,10.11,5.8,5.4,5.2,Handlebar_Mount
TEL_000144,T006,2026-08-15 23:44:00,12,13.052403,77.592137,915.2,31.0,0.12,-0.2,10.17,1.1,1.5,17.1,Handlebar_Mount
TEL_000145,T006,2026-08-15 23:45:00,13,13.055945,77.592132,919.2,33.7,-1.49,0.95,9.74,5.6,-13.9,5.8,Handlebar_Mount
TEL_000146,T006,2026-08-15 23:46:00,14,13.059024,77.59012,919.3,35.0,0.91,0.46,8.01,4.7,1.8,2.7,Handlebar_Mount
TEL_000147,T006,2026-08-15 23:47:00,15,13.061825,77.58664,916.5,42.5,-0.36,2.6,9.04,6.8,-4.7,-13.0,Handlebar_Mount
TEL_000148,T006,2026-08-15 23:48:00,16,13.06515,77.583673,917.0,42.4,-0.72,-0.03,9.38,0.4,-11.5,-1.1,Handlebar_Mount
TEL_000149,T006,2026-08-15 23:49:00,17,13.061395,77.586072,922.6,42.4,-0.19,-0.02,9.29,-2.6,4.4,23.4,Handlebar_Mount
TEL_000150,T006,2026-08-15 23:50:00,18,13.065495,77.587048,919.9,40.1,-0.11,-0.8,8.8,-3.0,6.7,-4.6,Handlebar_Mount
TEL_000151,T006,2026-08-15 23:51:00,19,13.062626,77.583917,915.7,40.4,-0.1,0.11,8.79,1.2,-2.0,6.1,Handlebar_Mount
TEL_000152,T006,2026-08-15 23:52:00,20,13.066864,77.584416,917.2,40.6,0.14,0.09,9.42,-1.5,1.9,16.2,Handlebar_Mount
TEL_000153,T006,2026-08-15 23:53:00,21,13.06607,77.588737,924.1,41.8,0.42,0.41,9.73,-1.4,2.1,9.1,Handlebar_Mount
TEL_000154,T006,2026-08-15 23:54:00,22,13.06335,77.585587,920.9,39.6,0.3,-0.77,9.96,-1.7,-0.9,6.2,Handlebar_Mount
TEL_000155,T006,2026-08-15 23:55:00,23,13.059393,77.587007,915.5,40.0,0.18,0.13,9.78,-3.2,1.9,3.9,Handlebar_Mount
TEL_000156,T006,2026-08-15 23:56:00,24,13.056447,77.583963,921.7,40.3,0.2,0.11,9.6,-0.6,5.3,8.3,Handlebar_Mount
TEL_000157,T006,2026-08-15 23:57:00,25,13.056447,77.583963,918.7,0.0,-0.08,-1.82,10.22,-5.6,2.5,-3.9,Handlebar_Mount
TEL_000158,T007,2026-08-17 01:05:00,0,13.018107,77.61403,924.4,0.0,-0.06,0.0,11.0,-0.2,-1.6,4.1,Pocket
TEL_000159,T007,2026-08-17 01:06:00,1,13.018462,77.614638,920.4,6.7,0.08,2.33,10.66,11.5,2.3,-3.8,Pocket
TEL_000160,T007,2026-08-17 01:07:00,2,13.018674,77.613352,918.5,12.4,0.52,1.96,10.15,2.7,3.8,10.0,Pocket
TEL_000161,T007,2026-08-17 01:08:00,3,13.018106,77.611647,915.5,17.1,-0.12,1.65,9.15,2.6,-0.0,3.2,Pocket
TEL_000162,T007,2026-08-17 01:09:00,4,13.019124,77.609677,922.1,21.1,0.23,1.38,9.31,6.1,1.1,2.5,Pocket
TEL_000163,T007,2026-08-17 01:10:00,5,13.020264,77.60738,923.4,24.4,-1.16,1.16,9.96,6.9,-4.9,-3.2,Pocket
TEL_000164,T007,2026-08-17 01:11:00,6,13.018999,77.604816,921.9,27.2,0.59,0.98,9.39,1.6,4.0,-21.0,Pocket
TEL_000165,T007,2026-08-17 01:12:00,7,13.016621,77.606439,920.3,27.4,0.41,0.04,10.06,2.4,4.5,-18.3,Pocket
TEL_000166,T007,2026-08-17 01:13:00,8,13.019384,77.607286,919.3,27.5,0.17,0.04,9.97,1.0,3.9,-10.3,Pocket
TEL_000167,T007,2026-08-17 01:14:00,9,13.017413,77.605158,921.5,27.6,-0.58,0.03,9.26,0.0,-3.2,-2.4,Pocket
TEL_000168,T007,2026-08-17 01:15:00,10,13.0164,77.608133,922.5,29.9,-1.7,0.8,6.8,1.9,-19.4,5.4,Pocket
TEL_000169,T007,2026-08-17 01:16:00,11,13.017064,77.610686,924.2,25.1,0.34,-1.66,10.41,-4.4,2.4,-10.6,Pocket
TEL_000170,T007,2026-08-17 01:17:00,12,13.014037,77.610668,916.6,28.8,-0.22,1.27,10.17,3.2,1.6,-6.7,Pocket
TEL_000171,T007,2026-08-17 01:18:00,13,13.015756,77.613535,922.1,31.8,1.0,1.07,10.62,2.2,8.0,-18.2,Pocket
TEL_000172,T007,2026-08-17 01:19:00,14,13.013061,77.615403,917.3,31.2,0.25,-0.21,9.85,-1.2,-4.9,12.4,Pocket
TEL_000173,T007,2026-08-17 01:20:00,15,13.01657,77.61602,924.2,33.9,0.12,0.93,10.17,0.7,5.6,8.9,Pocket
TEL_000174,T007,2026-08-17 01:21:00,16,13.01884,77.614066,915.9,28.5,0.51,-1.88,9.15,-2.5,0.9,9.6,Pocket
TEL_000175,T007,2026-08-17 01:22:00,17,13.01884,77.614066,925.0,0.0,0.08,-2.91,9.56,-13.4,5.1,-2.8,Pocket
TEL_000176,T008,2026-08-11 02:02:00,0,13.040462,77.581264,923.6,0.0,-0.05,0.0,10.03,-0.4,1.9,-1.3,Handlebar_Mount
TEL_000177,T008,2026-08-11 02:03:00,1,13.040011,77.581123,922.5,4.5,0.09,1.56,10.25,5.4,0.9,4.7,Handlebar_Mount
TEL_000178,T008,2026-08-11 02:04:00,2,13.041113,77.581172,917.2,10.5,-0.29,2.08,9.39,10.1,3.2,15.4,Handlebar_Mount
TEL_000179,T008,2026-08-11 02:05:00,3,13.040976,77.582796,923.4,15.5,-0.94,1.75,9.15,3.9,-13.0,20.9,Handlebar_Mount
